num|territorio|municipio|uf|n_com|familias|area_terr|pct|titulos|conf
151|Cutuvelo|Garrafão do Norte|PA|1|47|497.1703|100|ITERPA:497.1703:2015-06-20|alta
152|Sítio Bosque|Moju|PA|1|85|1152.7029|100|ITERPA:1152.7029:2015-07-20|alta
153|Marambaia|Mangaratiba|RJ|1|124|52.9939|100||media
154|Castainho|Garanhuns|PE|1|206|189.7738|54|INCRA:38.2367:2015-10-20;ITERPE:64.8040:2020-02-27|alta
155|Kalunga|Cavalcante, Monte Alegre e Teresinha do Goiás|GO|54|888|261999.6987|54||media
156|Serra da Guia|Poço Redondo|SE|1|197|9013.1831|22||media
157|Ipiranga|Viana|MA|1|56|1124.5847|100|ITERMA:1124.5847:2016-10-07|alta
158|Carro Quebrado|Viana|MA|1|84|176.9941|100|ITERMA:176.9941:2016-10-07|alta
159|Mirinzal da Julita|Presidente Juscelino|MA|1|25|330.1586|100|ITERMA:330.1586:2016-11-07|alta
160|Imbiral|Pedro do Rosário|MA|1|44|44.5899|100|ITERMA:44.5899:2016-11-16|alta
161|Tabacaria|Palmeira dos Índios|AL|1|89|410.0181|98|INCRA:400.0181:2016-11-20|alta
162|Santa Tereza|Mirinzal|MA|1|37|262.7899|100|ITERMA:262.7899:2016-12-15|alta
163|Ilha Grande do Cupijó|Cametá|PA|1|75|1922.6471|100|ITERPA:1922.6471:2017-04-28|alta
164|São José dos Portugueses|Cândido Mendes|MA|1|279|2119.7745|100|ITERMA:2119.7745:2017-05-19|alta
165|Pontal da Barra|Barra dos Coqueiros|SE|1|153|325.6935|36|INCRA:117.6160:2017-08-09|alta
166|Santa Fé|Costa Marques|RO|1|41|1452.9224|100|INCRA:1452.9224:2017-08-15|alta
167|Queluz|Anajatuba|MA|1|125|243.4938|100|ITERMA:243.4938:2017-09-25|alta
168|Tapuia|Camamu|BA|1|193|2425.8297|100|CDA:2425.8297:2018-01-31|alta
169|Cachoeira Porteira|Oriximiná|PA|1|189|225175.9420|100|ITERPA:225175.9420:2018-02-28|alta
170|Espírito Santo|Acará|PA|1|25|276.1594|100|ITERPA:276.1594:2018-02-28|alta
171|Vila Caeté|Abaetetuba e Barcarena|PA|1|110|1345.3062|100|ITERPA:1345.3062:2018-03-06|alta
172|São Tome Tauçú|Portel|PA|1|40|2568.6224|100|ITERPA:2568.6224:2018-03-12|alta
173|Acauã|Poço Branco|RN|1|64|540.5138|10|INCRA:22.9715:2018-05-24;INCRA:17.7182:2024-04-22;INCRA:21.2424:2024-04-22|media
174|Ariramba|Óbidos|PA|1|27|10454.5619|100|ITERPA:10454.5619:2018-06-18|alta
175|Pérola do Maicá|Santarém|PA|1|16|3.1522|73|PM Santarém:1.3894:2018-09-20;PM Santarém:0.3250:2018-09-20;PM Santarém:0.4501:2018-09-20;PM Santarém:0.0296:2019-10-16;PM Santarém:0.0634:2019-10-16;PM Santarém:0.0356:2019-10-16|media
176|Peruana|Óbidos|PA|1|16|1945.5300|100|INCRA:1945.5300:2018-10-26|alta
177|São Judas Tadeu (ARQUIOB)|Bujaru|PA|1|86|2003.6961|100|INCRA:2003.6961:2018-10-29|alta
178|Invernada Paiol de Telha|Reserva do Iguaçu|PR|1|393|2959.2371|39|INCRA:168.3797:2019-04-04;INCRA:57.0899:2019-04-04;INCRA:760.2345:2022-11-10;INCRA:82.2411:2022-11-10;INCRA:81.5492:2022-11-10|media
179|Soledade|Serrano do Maranhão|MA|1|68|707.2251|100|ITERMA:707.2251:2019-11-19|alta
180|Rio dos Macacos|Simões Filho e Salvador|BA|1|67|104.8787|93|INCRA:91.2855:2020-05-25;INCRA:6.5536:2020-05-25|alta
181|Tatituquara|Bagre|PA|4|41|7662.7691|100|ITERPA:7662.7691:2020-09-21|alta
182|Queimadas Grande|Isaias Coelho|PI|1|70|3257.6764|100|INTERPI:3257.6764:2020-11-13|alta
183|Santo Antônio|Serrano do Maranhão|MA|1|183|277.3625|100|ITERMA:277.3625:2020-11-18|alta
184|Nossa Senhora de Fátima de Crauateua|São Miguel do Guamá|PA|1|61|495.4909|100|ITERPA:495.4909:2020-11-19|alta
185|União São João|Prainha|PA|1|48|1806.8912|100|ITERPA:1806.8912:2020-11-19|alta
186|Capoeira|Viana|MA|1|66|261.4269|100|ITERMA:261.4269:2021-07-13|alta
187|Barra do Aroeira|Santa Tereza do Tocantins|TO|1|174|62315.3819|1|ITERTINS:197.6504:2021-07-29;ITERTINS:714.9511:2021-08-05|media
188|Marinheiro|Piripiri|PI|1|85|208.1455|100|INTERPI:208.1455:2021-09-03|alta
189|Vaquejador|Piripiri|PI|1|154|270.8841|100|INTERPI:270.8841:2021-09-03|alta
190|Riacho Fundo|Isaias Coelho|PI|1|200|1842.7621|100|INTERPI:1842.7621:2021-09-03|alta
191|Cuxiu|Bonito, São Miguel do Guamá e Ourém|PA|1|35|353.0204|100|ITERPA:353.0204:2021-11-16|alta
192|São Benedito|Serrano do Maranhão|MA|1|133|1276.8493|100|ITERMA:1276.8493:2022-02-15|alta
193|Achuí|Santa Helena e Pinheiro|MA|1|40|1064.2147|100|ITERMA:1064.2147:2022-03-31|alta
194|Sabonete|Isaias Coelho e Campinas do Piauí|PI|1|47|1962.2480|100|INTERPI:1962.2480:2022-03-23|alta
195|Santa Maria do Muraiteua|São Miguel do Guamá|PA|1|60|398.8357|100|ITERPA:398.8357:2022-05-10|alta
196|Guajarauna|Abaetetuba e Moju|PA|5|46|1368.3736|100|ITERPA:1368.3736:2022-05-10|alta
197|Boa Vista dos Negros|Parelhas|RN|1|36|445.2676|15|INCRA:65.8341:2022-06-20|alta
198|Ramal do Bacuri|Abaetetuba|PA|1|135|911.8576|100|ITERPA:911.8576:2022-06-27|alta
199|Juquiri|Moju|PA|1|65|698.2962|100|ITERPA:698.2962:2022-06-29|alta
200|Brejo dos Negros|Brejo Grande|SE|1|486|8125.5558|0.24|INCRA:19.7513:2022-08-31|alta
201|Vó Ernestina|Morro Redondo|RS|1|48|2.8553|100|PM Morro Redondo:2.8553:2022-08-31|alta
